State,Month,MajorEligibilityGroup,CountEnrolled,DQUnusable
Alabama,201912,Persons with disabilities,"205,341",
Alabama,201912,COVID newly-eligible,0,
Alabama,201912,Unknown,0,
Alabama,202001,Children,"681,999",
Alabama,202001,Adult expansion group,0,
Alabama,202001,Adult,"166,287",
Alabama,202001,Aged,"120,795",
Alabama,202001,Persons with disabilities,"205,427",
Alabama,202001,COVID newly-eligible,0,
Alabama,202001,Unknown,0,
Alabama,202002,Children,"681,892",
Alabama,202002,Adult expansion group,0,
Alabama,202002,Adult,"165,898",
Alabama,202002,Aged,"120,969",
Alabama,202002,Persons with disabilities,"204,863",
Alabama,202002,COVID newly-eligible,0,
Alabama,202002,Unknown,0,
Alabama,202003,Children,"681,994",
Alabama,202003,Adult expansion group,0,
Alabama,202003,Adult,"166,249",
Alabama,202003,Aged,"121,129",
Alabama,202003,Persons with disabilities,"204,135",
Alabama,202003,COVID newly-eligible,0,
Alabama,202003,Unknown,0,
Alabama,202004,Children,"685,465",
Alabama,202004,Adult expansion group,0,
Alabama,202004,Adult,"169,585",
Alabama,202004,Aged,"121,266",
Alabama,202004,Persons with disabilities,"204,430",
Alabama,202004,COVID newly-eligible,0,
Alabama,202004,Unknown,0,
Alabama,202005,Children,"691,205",
Alabama,202005,Adult expansion group,0,
Alabama,202005,Adult,"172,918",
Alabama,202005,Aged,"121,224",
Alabama,202005,Persons with disabilities,"204,624",
Alabama,202005,COVID newly-eligible,0,
Alabama,202005,Unknown,0,
Alabama,202006,Children,"697,911",
Alabama,202006,Adult expansion group,0,
Alabama,202006,Adult,"176,513",
Alabama,202006,Aged,"121,276",
Alabama,202006,Persons with disabilities,"204,912",
Alabama,202006,COVID newly-eligible,0,
Alabama,202006,Unknown,0,
Alabama,202007,Children,"703,184",
Alabama,202007,Adult expansion group,0,
Alabama,202007,Adult,"179,890",
Alabama,202007,Aged,"121,441",
Alabama,202007,Persons with disabilities,"205,182",
Alabama,202007,COVID newly-eligible,0,
Alabama,202007,Unknown,0,
Alabama,202008,Children,"707,016",
Alabama,202008,Adult expansion group,0,
Alabama,202008,Adult,"183,165",
Alabama,202008,Aged,"121,456",
Alabama,202008,Persons with disabilities,"205,378",
Alabama,202008,COVID newly-eligible,0,
Alabama,202008,Unknown,0,
Alabama,202009,Children,"710,083",
Alabama,202009,Adult expansion group,0,
Alabama,202009,Adult,"186,255",
Alabama,202009,Aged,"121,476",
Alabama,202009,Persons with disabilities,"205,494",
Alabama,202009,COVID newly-eligible,0,
Alabama,202009,Unknown,0,
Alabama,202010,Children,"714,555",
Alabama,202010,Adult expansion group,0,
Alabama,202010,Adult,"189,452",
Alabama,202010,Aged,"121,646",
Alabama,202010,Persons with disabilities,"205,761",
Alabama,202010,COVID newly-eligible,0,
Alabama,202010,Unknown,0,
Alabama,202011,Children,"718,765",
Alabama,202011,Adult expansion group,0,
Alabama,202011,Adult,"192,939",
Alabama,202011,Aged,"121,708",
Alabama,202011,Persons with disabilities,"205,826",
Alabama,202011,COVID newly-eligible,0,
Alabama,202011,Unknown,0,
Alabama,202012,Children,"723,468",
Alabama,202012,Adult expansion group,0,
Alabama,202012,Adult,"196,492",
Alabama,202012,Aged,"122,027",
Alabama,202012,Persons with disabilities,"205,845",
Alabama,202012,COVID newly-eligible,0,
Alabama,202012,Unknown,0,
Alaska,201601,Children,"82,117",
Alaska,201601,Adult expansion group,"16,786",
Alaska,201601,Adult,"34,513",
Alaska,201601,Aged,"9,875",
Alaska,201601,Persons with disabilities,"16,521",
Alaska,201601,COVID newly-eligible,0,
Alaska,201601,Unknown,0,
Alaska,201602,Children,"83,326",
Alaska,201602,Adult expansion group,"18,706",
Alaska,201602,Adult,"35,156",
Alaska,201602,Aged,"9,930",
Alaska,201602,Persons with disabilities,"16,506",
Alaska,201602,COVID newly-eligible,0,
Alaska,201602,Unknown,0,
Alaska,201603,Children,"84,353",
Alaska,201603,Adult expansion group,"20,266",
Alaska,201603,Adult,"35,675",
Alaska,201603,Aged,"9,962",
Alaska,201603,Persons with disabilities,"16,603",
Alaska,201603,COVID newly-eligible,0,
Alaska,201603,Unknown,0,
Alaska,201604,Children,"85,158",
Alaska,201604,Adult expansion group,"21,625",
Alaska,201604,Adult,"36,196",
Alaska,201604,Aged,"9,968",
Alaska,201604,Persons with disabilities,"16,463",
Alaska,201604,COVID newly-eligible,0,
Alaska,201604,Unknown,0,
Alaska,201605,Children,"85,706",
Alaska,201605,Adult expansion group,"22,933",
Alaska,201605,Adult,"36,475",
Alaska,201605,Aged,"9,997",
Alaska,201605,Persons with disabilities,"16,430",
Alaska,201605,COVID newly-eligible,0,
Alaska,201605,Unknown,0,
Alaska,201606,Children,"86,403",
Alaska,201606,Adult expansion group,"23,973",
Alaska,201606,Adult,"36,830",
Alaska,201606,Aged,"10,081",
Alaska,201606,Persons with disabilities,"16,426",
Alaska,201606,COVID newly-eligible,0,
Alaska,201606,Unknown,0,
Alaska,201607,Children,"87,152",
Alaska,201607,Adult expansion group,"25,166",
Alaska,201607,Adult,"37,263",
Alaska,201607,Aged,"10,155",
Alaska,201607,Persons with disabilities,"16,441",
Alaska,201607,COVID newly-eligible,0,
Alaska,201607,Unknown,0,
Alaska,201608,Children,"88,435",
Alaska,201608,Adult expansion group,"26,586",
Alaska,201608,Adult,"37,841",
Alaska,201608,Aged,"10,207",
Alaska,201608,Persons with disabilities,"16,483",
Alaska,201608,COVID newly-eligible,0,
Alaska,201608,Unknown,0,
Alaska,201609,Children,"89,217",
Alaska,201609,Adult expansion group,"27,690",
Alaska,201609,Adult,"38,262",
Alaska,201609,Aged,"10,277",
Alaska,201609,Persons with disabilities,"16,523",
Alaska,201609,COVID newly-eligible,0,
Alaska,201609,Unknown,0,
Alaska,201610,Children,"90,180",
Alaska,201610,Adult expansion group,"29,067",
Alaska,201610,Adult,"38,991",
Alaska,201610,Aged,"10,318",
Alaska,201610,Persons with disabilities,"16,544",
Alaska,201610,COVID newly-eligible,0,
Alaska,201610,Unknown,0,
Alaska,201611,Children,"91,337",
Alaska,201611,Adult expansion group,"30,439",
Alaska,201611,Adult,"39,466",
Alaska,201611,Aged,"10,340",
Alaska,201611,Persons with disabilities,"16,542",
Alaska,201611,COVID newly-eligible,0,
Alaska,201611,Unknown,0,
Alaska,201612,Children,"92,037",
Alaska,201612,Adult expansion group,"31,622",
Alaska,201612,Adult,"39,034",
Alaska,201612,Aged,"10,374",
Alaska,201612,Persons with disabilities,"16,539",
Alaska,201612,COVID newly-eligible,0,
Alaska,201612,Unknown,0,
Alaska,201701,Children,"93,348",
Alaska,201701,Adult expansion group,"34,440",
Alaska,201701,Adult,"39,874",
Alaska,201701,Aged,"10,416",
Alaska,201701,Persons with disabilities,"16,499",
Alaska,201701,COVID newly-eligible,0,
Alaska,201701,Unknown,0,
Alaska,201702,Children,"94,323",
Alaska,201702,Adult expansion group,"35,683",
Alaska,201702,Adult,"40,279",
Alaska,201702,Aged,"10,406",
Alaska,201702,Persons with disabilities,"16,521",
Alaska,201702,COVID newly-eligible,0,
Alaska,201702,Unknown,0,
Alaska,201703,Children,"95,022",
Alaska,201703,Adult expansion group,"36,690",
Alaska,201703,Adult,"40,533",
Alaska,201703,Aged,"10,476",
Alaska,201703,Persons with disabilities,"16,509",
Alaska,201703,COVID newly-eligible,0,
Alaska,201703,Unknown,0,
Alaska,201704,Children,"95,607",
Alaska,201704,Adult expansion group,"37,492",
Alaska,201704,Adult,"40,747",
Alaska,201704,Aged,"10,564",
Alaska,201704,Persons with disabilities,"16,514",
Alaska,201704,COVID newly-eligible,0,
Alaska,201704,Unknown,0,
Alaska,201705,Children,"96,125",
Alaska,201705,Adult expansion group,"38,214",
Alaska,201705,Adult,"40,996",
Alaska,201705,Aged,"10,629",
Alaska,201705,Persons with disabilities,"16,530",
Alaska,201705,COVID newly-eligible,0,
Alaska,201705,Unknown,0,
Alaska,201706,Children,"96,535",
Alaska,201706,Adult expansion group,"38,699",
Alaska,201706,Adult,"41,140",
Alaska,201706,Aged,"10,666",
Alaska,201706,Persons with disabilities,"16,517",
Alaska,201706,COVID newly-eligible,0,
Alaska,201706,Unknown,0,
Alaska,201707,Children,"96,855",
Alaska,201707,Adult expansion group,"39,156",
Alaska,201707,Adult,"41,083",
Alaska,201707,Aged,"10,748",
Alaska,201707,Persons with disabilities,"16,514",
Alaska,201707,COVID newly-eligible,0,
Alaska,201707,Unknown,0,
Alaska,201708,Children,"97,369",
Alaska,201708,Adult expansion group,"39,672",
Alaska,201708,Adult,"41,164",
Alaska,201708,Aged,"10,815",
Alaska,201708,Persons with disabilities,"16,504",
Alaska,201708,COVID newly-eligible,0,
Alaska,201708,Unknown,0,
Alaska,201709,Children,"97,508",
Alaska,201709,Adult expansion group,"40,125",
Alaska,201709,Adult,"41,078",
Alaska,201709,Aged,"10,835",
Alaska,201709,Persons with disabilities,"16,451",
Alaska,201709,COVID newly-eligible,0,
Alaska,201709,Unknown,0,
Alaska,201710,Children,"97,780",
Alaska,201710,Adult expansion group,"40,740",
Alaska,201710,Adult,"41,091",
Alaska,201710,Aged,"10,937",
Alaska,201710,Persons with disabilities,"16,404",
Alaska,201710,COVID newly-eligible,0,
Alaska,201710,Unknown,0,
Alaska,201711,Children,"97,865",
Alaska,201711,Adult expansion group,"41,575",
Alaska,201711,Adult,"41,124",
Alaska,201711,Aged,"11,008",
Alaska,201711,Persons with disabilities,"16,361",
Alaska,201711,COVID newly-eligible,0,
Alaska,201711,Unknown,0,
Alaska,201712,Children,"98,006",
Alaska,201712,Adult expansion group,"42,265",
Alaska,201712,Adult,"41,139",
Alaska,201712,Aged,"11,008",
Alaska,201712,Persons with disabilities,"16,334",
Alaska,201712,COVID newly-eligible,0,
Alaska,201712,Unknown,0,
Alaska,201801,Children,"98,801",
Alaska,201801,Adult expansion group,"43,905",
Alaska,201801,Adult,"41,584",
Alaska,201801,Aged,"11,016",
Alaska,201801,Persons with disabilities,"16,301",
Alaska,201801,COVID newly-eligible,0,
Alaska,201801,Unknown,0,
Alaska,201802,Children,"99,132",
Alaska,201802,Adult expansion group,"44,449",
Alaska,201802,Adult,"41,644",
Alaska,201802,Aged,"11,071",
Alaska,201802,Persons with disabilities,"16,277",
Alaska,201802,COVID newly-eligible,0,
Alaska,201802,Unknown,0,
Alaska,201803,Children,"99,826",
Alaska,201803,Adult expansion group,"45,210",
Alaska,201803,Adult,"41,873",
Alaska,201803,Aged,"11,161",
Alaska,201803,Persons with disabilities,"16,312",
Alaska,201803,COVID newly-eligible,0,
Alaska,201803,Unknown,0,
Alaska,201804,Children,"100,424",
Alaska,201804,Adult expansion group,"45,983",
Alaska,201804,Adult,"41,973",
Alaska,201804,Aged,"11,214",
Alaska,201804,Persons with disabilities,"16,305",
Alaska,201804,COVID newly-eligible,0,
Alaska,201804,Unknown,0,
Alaska,201805,Children,"101,054",
Alaska,201805,Adult expansion group,"46,579",
Alaska,201805,Adult,"42,036",
Alaska,201805,Aged,"11,285",
Alaska,201805,Persons with disabilities,"16,292",
Alaska,201805,COVID newly-eligible,0,
Alaska,201805,Unknown,0,
Alaska,201806,Children,"101,579",
Alaska,201806,Adult expansion group,"47,002",
Alaska,201806,Adult,"42,215",
Alaska,201806,Aged,"11,361",
Alaska,201806,Persons with disabilities,"16,248",
Alaska,201806,COVID newly-eligible,0,
Alaska,201806,Unknown,0,
Alaska,201807,Children,"101,811",
Alaska,201807,Adult expansion group,"47,478",
Alaska,201807,Adult,"42,226",
Alaska,201807,Aged,"11,391",
Alaska,201807,Persons with disabilities,"16,217",
Alaska,201807,COVID newly-eligible,0,
Alaska,201807,Unknown,0,
Alaska,201808,Children,"102,313",
Alaska,201808,Adult expansion group,"47,848",
Alaska,201808,Adult,"42,389",
Alaska,201808,Aged,"11,457",
Alaska,201808,Persons with disabilities,"16,218",
Alaska,201808,COVID newly-eligible,0,
Alaska,201808,Unknown,0,
Alaska,201809,Children,"102,458",
Alaska,201809,Adult expansion group,"48,287",
Alaska,201809,Adult,"42,227",
Alaska,201809,Aged,"11,469",
Alaska,201809,Persons with disabilities,"16,207",
Alaska,201809,COVID newly-eligible,0,
Alaska,201809,Unknown,0,
Alaska,201810,Children,"102,863",
Alaska,201810,Adult expansion group,"48,796",
Alaska,201810,Adult,"42,085",
Alaska,201810,Aged,"11,553",
Alaska,201810,Persons with disabilities,"16,234",
Alaska,201810,COVID newly-eligible,0,
Alaska,201810,Unknown,0,
Alaska,201811,Children,"103,079",
Alaska,201811,Adult expansion group,"49,572",
Alaska,201811,Adult,"42,038",
Alaska,201811,Aged,"11,596",
Alaska,201811,Persons with disabilities,"16,178",
Alaska,201811,COVID newly-eligible,0,
Alaska,201811,Unknown,0,
Alaska,201812,Children,"103,262",
Alaska,201812,Adult expansion group,"50,229",
Alaska,201812,Adult,"42,025",
Alaska,201812,Aged,"11,590",
Alaska,201812,Persons with disabilities,"16,158",
Alaska,201812,COVID newly-eligible,0,
Alaska,201812,Unknown,0,
Alaska,201901,Children,"103,702",
Alaska,201901,Adult expansion group,"50,796",
Alaska,201901,Adult,"42,127",
Alaska,201901,Aged,"11,625",
Alaska,201901,Persons with disabilities,"16,147",
Alaska,201901,COVID newly-eligible,0,
Alaska,201901,Unknown,0,
Alaska,201902,Children,"103,767",
Alaska,201902,Adult expansion group,"51,077",
Alaska,201902,Adult,"42,048",
Alaska,201902,Aged,"11,666",
Alaska,201902,Persons with disabilities,"16,132",
Alaska,201902,COVID newly-eligible,0,
Alaska,201902,Unknown,0,
Alaska,201903,Children,"103,941",
Alaska,201903,Adult expansion group,"51,305",
Alaska,201903,Adult,"42,033",
Alaska,201903,Aged,"11,658",
Alaska,201903,Persons with disabilities,"16,124",
Alaska,201903,COVID newly-eligible,0,
Alaska,201903,Unknown,0,
Alaska,201904,Children,"104,106",
Alaska,201904,Adult expansion group,"51,805",
Alaska,201904,Adult,"41,930",
Alaska,201904,Aged,"11,690",
Alaska,201904,Persons with disabilities,"16,099",
Alaska,201904,COVID newly-eligible,0,
Alaska,201904,Unknown,0,
Alaska,201905,Children,"104,183",
Alaska,201905,Adult expansion group,"52,162",
Alaska,201905,Adult,"41,806",
Alaska,201905,Aged,"11,728",
Alaska,201905,Persons with disabilities,"16,075",
Alaska,201905,COVID newly-eligible,0,
Alaska,201905,Unknown,0,
Alaska,201906,Children,"104,311",
Alaska,201906,Adult expansion group,"52,354",
Alaska,201906,Adult,"41,917",
Alaska,201906,Aged,"11,737",
Alaska,201906,Persons with disabilities,"16,064",
Alaska,201906,COVID newly-eligible,0,
Alaska,201906,Unknown,0,
Alaska,201907,Children,"104,596",
Alaska,201907,Adult expansion group,"52,812",
Alaska,201907,Adult,"42,435",
Alaska,201907,Aged,"11,805",
Alaska,201907,Persons with disabilities,"16,051",
Alaska,201907,COVID newly-eligible,0,
Alaska,201907,Unknown,0,
Alaska,201908,Children,"104,877",
Alaska,201908,Adult expansion group,"53,113",
Alaska,201908,Adult,"42,684",
Alaska,201908,Aged,"11,883",
Alaska,201908,Persons with disabilities,"16,065",
Alaska,201908,COVID newly-eligible,0,
Alaska,201908,Unknown,0,
Alaska,201909,Children,"105,078",
Alaska,201909,Adult expansion group,"53,243",
Alaska,201909,Adult,"42,802",
